sample_id,U_wall,A_wall,n_airchange,conductive_loss,ventilation_loss,total_heat_loss,duration_hours,thermal_resistance
82,0.9292697904342555,52.31849247933012,9.29752191335971,0.875,101.016,101.891,153.11,1.0761
83,1.0279130521394344,194.99822285655043,9.643475775474679,3.608,104.774,108.382,143.93,0.9728
84,1.750116074294512,94.16733381043785,3.973957740298868,2.966,43.176,46.143,338.08,0.5714
85,1.7469323415786568,97.53830077344165,1.8610289175237065,3.067,20.22,23.287,669.91,0.5724
86,1.2465621461791951,190.42321612411715,7.021092007414736,4.273,76.283,80.555,193.66,0.8022
87,1.2691039891519205,64.57647406561529,6.227070821651864,1.475,67.656,69.131,225.66,0.788
88,1.9830915451772475,71.01260228547861,5.279630593164621,2.535,57.362,59.897,260.45,0.5043
89,1.7915342222775243,161.11529266313067,7.030754261753627,5.196,76.388,81.583,191.22,0.5582
90,1.4942229427780858,103.92367268296327,3.0772000737920355,2.795,33.433,36.228,430.6,0.6692
91,1.675913964313473,171.5170092018771,8.697308722085015,5.174,94.495,99.669,156.52,0.5967
92,1.8525089393460012,126.70135982914067,5.1148596879345565,4.225,55.572,59.797,260.88,0.5398
93,1.6571018042435177,147.49458961666477,7.079275397125493,4.399,76.915,81.314,191.85,0.6035
94,1.6528475380413719,183.50080127263493,3.5123525371450515,5.459,38.161,43.62,357.63,0.605
95,0.9384910194879048,64.09729097613035,5.867145381762506,1.083,63.745,64.828,240.64,1.0655
96,0.36110186545446155,119.83970271986902,5.517917420134252,0.779,59.951,60.73,256.87,2.7693
97,0.7871201286180834,138.62498908535161,0.4989024494026844,1.964,5.42,7.385,2112.52,1.2705
98,0.3634919208736645,173.39008409894873,3.729868285830377,1.134,40.524,41.659,374.47,2.7511
99,0.5160028715082041,128.33648900822067,7.745936820366387,1.192,84.158,85.35,182.78,1.938
100,0.6668957467446334,143.43357137285005,1.0364051569389265,1.722,11.26,12.982,1201.65,1.4995
